id_funcional,nome_completo,cpf,vencimento_reciclagem,certificacoes,soft_skills,perfil_comportamental,nota_performance,cep_base,escala_atual,ultimo_posto
VIG-10000,Henry Gabriel Moura,085.***.***-71,2025-04-30,"Monitoramento de CFTV, Transporte de Valores","Comunicação Assertiva, Empatia",Possui postura exemplar e uniforme sempre impecável.,8.0,05407-002,12x36 Dia,da Mota S.A. - Unidade 3
VIG-10001,Dr. Davi Dias,712.***.***-70,2026-06-28,Vigilância Patrimonial,"Proatividade, Atenção Concentrada, Discrição, Comunicação Assertiva, Pontualidade Extrema","Focado e observador, antecipa riscos no perímetro.",7.7,02011-000,12x36 Noite,Teixeira e Filhos - Unidade 1
VIG-10002,Pedro Vargas,302.***.***-40,2028-02-28,"Segurança Pessoal (VSPP), Monitoramento de CFTV, Vigilância Patrimonial","Resolução de Conflitos, Pontualidade Extrema",Profissional muito elogiado pelo cliente.,9.2,04794-000,12x36 Noite,Camargo Brito S.A. - Unidade 1
VIG-10003,Giovanna Casa Grande,547.***.***-30,2027-03-19,Grandes Eventos,"Atenção Concentrada, Discrição",Demonstra facilidade em lidar com público diverso.,7.2,01013-001,12x36 Noite,Borges Moreira Ltda. - Unidade 6
VIG-10004,Dr. Juan Melo,386.***.***-91,2028-03-16,Monitoramento de CFTV,"Proatividade, Trabalho sob Pressão",Demonstra facilidade em lidar com público diverso.,8.5,02011-000,12x36 Dia,da Mata - Unidade 7
VIG-10005,Ana Luiza Cunha,904.***.***-00,2025-09-22,Vigilância Patrimonial,"Comunicação Assertiva, Pontualidade Extrema, Discrição, Atenção Concentrada, Inteligência Emocional, Liderança de Equipe","Focado e observador, antecipa riscos no perímetro.",9.3,02011-000,12x36 Dia,Marques da Conceição - EI - Unidade 6
VIG-10006,Caleb Ramos,056.***.***-10,2027-04-27,"Vigilância Patrimonial, Grandes Eventos, Transporte de Valores","Discrição, Empatia, Inteligência Emocional, Pontualidade Extrema",Profissional muito elogiado pelo cliente.,7.7,02011-000,5x2 Comercial,Machado - Unidade 6
VIG-10007,Ravi da Mota,278.***.***-88,2027-10-30,Monitoramento de CFTV,"Inteligência Emocional, Perfil Analítico",Excelente pontualidade e assiduidade.,7.0,01013-001,5x2 Comercial,Costela S/A - Unidade 7
VIG-10008,Stella Rezende,564.***.***-06,2026-04-15,"Segurança Pessoal (VSPP), Grandes Eventos, Transporte de Valores","Atenção Concentrada, Comunicação Assertiva, Resolução de Conflitos, Trabalho sob Pressão","Focado e observador, antecipa riscos no perímetro.",8.6,01310-100,12x36 Dia,Siqueira - Unidade 3
VIG-10009,Emilly Mendonça,761.***.***-52,2027-02-21,"Escolta Armada, Grandes Eventos","Liderança de Equipe, Comunicação Assertiva, Proatividade, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,9.8,01202-001,12x36 Dia,das Neves - Unidade 5
