id_funcional,nome_completo,posto_atual,data_inicio_ferias
VIG-10000,Mariana Ramos,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10001,Davi Miguel Nunes,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10002,Eduarda Campos,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10003,Erick Sales,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10004,Maria Luísa Casa Grande,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10005,Luara Albuquerque,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10006,Lunna da Cunha,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10007,Kevin Azevedo,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10008,Anthony Gabriel Teixeira,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
VIG-10009,Dr. Arthur Miguel Barbosa,Posto Bancário Centro - Agência Rodrigues da Mata,2026-03-15
